batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,completed_stations,station_id,discovered_channels,cleared_channels,virtual_time_s,discovered_fraction
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,9,26,7,7,3715.338091,0.6363636363636364
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,10,29,7,7,3990.338091,0.6363636363636364
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,11,30,7,7,4265.338091,0.6363636363636364
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,12,27,8,7,4540.338091,0.7272727272727273
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,13,22,10,8,4931.529997,0.9090909090909091
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,14,17,10,10,5653.292989,0.9090909090909091
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,15,11,10,10,5910.292989,0.9090909090909091
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,16,5,10,10,6167.292989,0.9090909090909091
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,17,1,10,10,6424.292989,0.9090909090909091
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,18,4,10,10,6681.292989,0.9090909090909091
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,19,0,10,10,6938.292989,0.9090909090909091
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,20,3,10,10,7195.292989,0.9090909090909091
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,21,14,11,10,7597.239049,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,22,18,11,11,8202.938215,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,23,24,11,11,8453.938215,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,24,20,11,11,8849.884275,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,25,21,11,11,9100.884275,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,26,16,11,11,9351.884275,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,27,10,11,11,9602.884275,1.0
