batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,actual_completed_stations,first_all_discovered_station,first_16_discovered_station,stopped_before_station_budget,stop_certificate,final_cleared,final_virtual_time_s,historical_metrics_match,replay_physics_audit_passed
round9_main,bounded,edge_111095_smooth,edge,smooth,14,recommended25,FINAL,25,1,25,25,,0,triangular_halfplane_cover,14,6705.396237,1,1
round9_rounding,pre_round_stress,uniform_121000_spatial_hash,uniform,spatial_hash,11,baseline31,BASE,31,1,31,22,,0,triangular_halfplane_cover,11,11443.227538,1,1
round9_rounding,pre_round_stress,uniform_121000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,25,23,,0,triangular_halfplane_cover,11,7365.149525,1,1
round9_rounding,pre_round_stress,outward_121001_spatial_hash,outward,spatial_hash,14,baseline31,BASE,31,1,31,18,,0,triangular_halfplane_cover,14,11537.843214,1,1
round9_rounding,pre_round_stress,outward_121001_spatial_hash,outward,spatial_hash,14,recommended25,FINAL,25,1,25,18,,0,triangular_halfplane_cover,14,5895.673656,1,1
round9_rounding,pre_round_stress,inward_121002_spatial_hash,inward,spatial_hash,12,baseline31,BASE,31,1,31,23,,0,triangular_halfplane_cover,12,11914.574363,1,1
round9_rounding,pre_round_stress,inward_121002_spatial_hash,inward,spatial_hash,12,recommended25,FINAL,25,1,25,11,,0,triangular_halfplane_cover,12,5595.847213,1,1
round9_rounding,pre_round_stress,tangent_121003_spatial_hash,tangent,spatial_hash,12,baseline31,BASE,31,1,31,14,,0,triangular_halfplane_cover,12,10973.813389,1,1
round9_rounding,pre_round_stress,tangent_121003_spatial_hash,tangent,spatial_hash,12,recommended25,FINAL,25,1,25,22,,0,triangular_halfplane_cover,12,7412.26379,1,1
round9_rounding,pre_round_stress,cluster_121004_spatial_hash,cluster,spatial_hash,13,baseline31,BASE,31,1,31,13,,0,triangular_halfplane_cover,13,12280.589531,1,1
round9_rounding,pre_round_stress,cluster_121004_spatial_hash,cluster,spatial_hash,13,recommended25,FINAL,25,1,25,12,,0,triangular_halfplane_cover,13,6919.170324,1,1
round9_rounding,pre_round_stress,edge_121005_spatial_hash,edge,spatial_hash,14,baseline31,BASE,31,1,31,27,,0,triangular_halfplane_cover,14,11519.032687,1,1
round9_rounding,pre_round_stress,edge_121005_spatial_hash,edge,spatial_hash,14,recommended25,FINAL,25,1,25,22,,0,triangular_halfplane_cover,14,6596.964998,1,1
round9_rounding,pre_round_stress,uniform_121006_positive,uniform,positive,13,baseline31,BASE,31,1,31,6,,0,triangular_halfplane_cover,13,10152.299389,1,1
round9_rounding,pre_round_stress,uniform_121006_positive,uniform,positive,13,recommended25,FINAL,25,1,25,13,,0,triangular_halfplane_cover,13,6416.329958,1,1
round9_rounding,pre_round_stress,outward_121007_positive,outward,positive,11,baseline31,BASE,31,1,31,30,,0,triangular_halfplane_cover,11,15045.187792,1,1
round9_rounding,pre_round_stress,outward_121007_positive,outward,positive,11,recommended25,FINAL,25,1,25,22,,0,triangular_halfplane_cover,11,10000.353887,1,1
round9_rounding,pre_round_stress,inward_121008_positive,inward,positive,11,baseline31,BASE,31,1,31,21,,0,triangular_halfplane_cover,11,11118.76554,1,1
round9_rounding,pre_round_stress,inward_121008_positive,inward,positive,11,recommended25,FINAL,25,1,25,11,,0,triangular_halfplane_cover,11,5708.784392,1,1
round9_rounding,pre_round_stress,tangent_121009_positive,tangent,positive,16,baseline31,BASE,31,1,14,14,14,1,count16,16,6146.772716,1,1
round9_rounding,pre_round_stress,tangent_121009_positive,tangent,positive,16,recommended25,FINAL,25,1,12,12,12,1,count16,16,4910.013291,1,1
round9_rounding,pre_round_stress,cluster_121010_positive,cluster,positive,15,baseline31,BASE,31,1,31,24,,0,triangular_halfplane_cover,15,11707.855075,1,1
