batch,rounding,layout_id,family,error_mode,source_count,arm,station_budget,conditions_per_layout_per_arm,actual_completed_stations,station_index,discovered_channels,discovered_fraction,value_kind,beyond_station_budget
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,3,3,0.2727272727272727,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,4,5,0.45454545454545453,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,5,6,0.5454545454545454,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,6,6,0.5454545454545454,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,7,6,0.5454545454545454,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,8,7,0.6363636363636364,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,9,8,0.7272727272727273,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,10,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,11,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,12,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,13,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,14,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,15,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,16,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,17,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,18,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,19,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,20,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,21,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,22,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,23,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,24,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,25,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,26,11,1.0,post_stop_carry_forward,1
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,27,11,1.0,post_stop_carry_forward,1
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,28,11,1.0,post_stop_carry_forward,1
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,29,11,1.0,post_stop_carry_forward,1
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,30,11,1.0,post_stop_carry_forward,1
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,31,11,1.0,post_stop_carry_forward,1
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,31,1,31,0,0,0.0,initial,0
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,31,1,31,1,0,0.0,observed_scan_endpoint,0
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,31,1,31,2,5,0.38461538461538464,observed_scan_endpoint,0
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,31,1,31,3,7,0.5384615384615384,observed_scan_endpoint,0
