batch,arm,source_stratum,station_index,n_independent_layouts,n_observed_scan_endpoints,n_carried_forward,count_q1,count_median,count_q3,fraction_q1,fraction_median,fraction_q3
round9_main,baseline31,n_sources_13,29,12,12,0,13.0,13.0,13.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_13,30,12,12,0,13.0,13.0,13.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_13,31,12,12,0,13.0,13.0,13.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_14,0,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0
round9_main,baseline31,n_sources_14,1,20,20,0,0.0,0.0,0.25,0.0,0.0,0.017857142857142856
round9_main,baseline31,n_sources_14,2,20,20,0,1.0,2.0,4.25,0.07142857142857142,0.14285714285714285,0.30357142857142855
round9_main,baseline31,n_sources_14,3,20,20,0,3.0,4.0,6.0,0.21428571428571427,0.2857142857142857,0.42857142857142855
round9_main,baseline31,n_sources_14,4,20,20,0,3.0,4.5,6.0,0.21428571428571427,0.3214285714285714,0.42857142857142855
round9_main,baseline31,n_sources_14,5,20,20,0,3.0,5.0,7.0,0.21428571428571427,0.35714285714285715,0.5
round9_main,baseline31,n_sources_14,6,20,20,0,3.75,5.5,7.0,0.26785714285714285,0.39285714285714285,0.5
round9_main,baseline31,n_sources_14,7,20,20,0,4.0,5.5,7.0,0.2857142857142857,0.39285714285714285,0.5
round9_main,baseline31,n_sources_14,8,20,20,0,5.0,6.5,8.25,0.35714285714285715,0.4642857142857143,0.5892857142857143
round9_main,baseline31,n_sources_14,9,20,20,0,5.0,7.0,9.0,0.35714285714285715,0.5,0.6428571428571429
round9_main,baseline31,n_sources_14,10,20,20,0,5.0,7.5,10.25,0.35714285714285715,0.5357142857142857,0.7321428571428572
round9_main,baseline31,n_sources_14,11,20,20,0,5.0,8.0,10.25,0.35714285714285715,0.5714285714285714,0.7321428571428572
round9_main,baseline31,n_sources_14,12,20,20,0,6.0,8.5,11.0,0.42857142857142855,0.6071428571428572,0.7857142857142857
round9_main,baseline31,n_sources_14,13,20,20,0,7.0,8.5,11.0,0.5,0.6071428571428572,0.7857142857142857
round9_main,baseline31,n_sources_14,14,20,20,0,7.0,9.5,11.0,0.5,0.6785714285714286,0.7857142857142857
round9_main,baseline31,n_sources_14,15,20,20,0,7.0,9.5,11.5,0.5,0.6785714285714286,0.8214285714285714
round9_main,baseline31,n_sources_14,16,20,20,0,8.0,10.0,12.25,0.5714285714285714,0.7142857142857143,0.875
round9_main,baseline31,n_sources_14,17,20,20,0,9.0,10.0,13.0,0.6428571428571429,0.7142857142857143,0.9285714285714286
round9_main,baseline31,n_sources_14,18,20,20,0,9.0,11.0,13.0,0.6428571428571429,0.7857142857142857,0.9285714285714286
round9_main,baseline31,n_sources_14,19,20,20,0,9.75,11.5,13.25,0.6964285714285714,0.8214285714285714,0.9464285714285714
round9_main,baseline31,n_sources_14,20,20,20,0,12.0,13.0,14.0,0.8571428571428571,0.9285714285714286,1.0
round9_main,baseline31,n_sources_14,21,20,20,0,12.75,13.0,14.0,0.9107142857142857,0.9285714285714286,1.0
round9_main,baseline31,n_sources_14,22,20,20,0,13.0,14.0,14.0,0.9285714285714286,1.0,1.0
round9_main,baseline31,n_sources_14,23,20,20,0,13.0,14.0,14.0,0.9285714285714286,1.0,1.0
round9_main,baseline31,n_sources_14,24,20,20,0,13.75,14.0,14.0,0.9821428571428572,1.0,1.0
round9_main,baseline31,n_sources_14,25,20,20,0,14.0,14.0,14.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_14,26,20,20,0,14.0,14.0,14.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_14,27,20,20,0,14.0,14.0,14.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_14,28,20,20,0,14.0,14.0,14.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_14,29,20,20,0,14.0,14.0,14.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_14,30,20,20,0,14.0,14.0,14.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_14,31,20,20,0,14.0,14.0,14.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_15,0,13,13,0,0.0,0.0,0.0,0.0,0.0,0.0
round9_main,baseline31,n_sources_15,1,13,13,0,0.0,0.0,5.0,0.0,0.0,0.3333333333333333
round9_main,baseline31,n_sources_15,2,13,13,0,2.0,4.0,6.0,0.13333333333333333,0.26666666666666666,0.4
round9_main,baseline31,n_sources_15,3,13,13,0,4.0,5.0,8.0,0.26666666666666666,0.3333333333333333,0.5333333333333333
round9_main,baseline31,n_sources_15,4,13,13,0,4.0,6.0,8.0,0.26666666666666666,0.4,0.5333333333333333
round9_main,baseline31,n_sources_15,5,13,13,0,4.0,6.0,9.0,0.26666666666666666,0.4,0.6
round9_main,baseline31,n_sources_15,6,13,13,0,5.0,6.0,9.0,0.3333333333333333,0.4,0.6
round9_main,baseline31,n_sources_15,7,13,13,0,5.0,7.0,11.0,0.3333333333333333,0.4666666666666667,0.7333333333333333
round9_main,baseline31,n_sources_15,8,13,13,0,5.0,7.0,11.0,0.3333333333333333,0.4666666666666667,0.7333333333333333
round9_main,baseline31,n_sources_15,9,13,13,0,5.0,7.0,11.0,0.3333333333333333,0.4666666666666667,0.7333333333333333
round9_main,baseline31,n_sources_15,10,13,13,0,6.0,8.0,11.0,0.4,0.5333333333333333,0.7333333333333333
round9_main,baseline31,n_sources_15,11,13,13,0,7.0,10.0,11.0,0.4666666666666667,0.6666666666666666,0.7333333333333333
round9_main,baseline31,n_sources_15,12,13,13,0,8.0,11.0,12.0,0.5333333333333333,0.7333333333333333,0.8
round9_main,baseline31,n_sources_15,13,13,13,0,8.0,12.0,14.0,0.5333333333333333,0.8,0.9333333333333333
round9_main,baseline31,n_sources_15,14,13,13,0,10.0,12.0,14.0,0.6666666666666666,0.8,0.9333333333333333
round9_main,baseline31,n_sources_15,15,13,13,0,11.0,12.0,14.0,0.7333333333333333,0.8,0.9333333333333333
round9_main,baseline31,n_sources_15,16,13,13,0,12.0,13.0,14.0,0.8,0.8666666666666667,0.9333333333333333
round9_main,baseline31,n_sources_15,17,13,13,0,13.0,14.0,14.0,0.8666666666666667,0.9333333333333333,0.9333333333333333
round9_main,baseline31,n_sources_15,18,13,13,0,14.0,14.0,15.0,0.9333333333333333,0.9333333333333333,1.0
round9_main,baseline31,n_sources_15,19,13,13,0,14.0,14.0,15.0,0.9333333333333333,0.9333333333333333,1.0
round9_main,baseline31,n_sources_15,20,13,13,0,14.0,15.0,15.0,0.9333333333333333,1.0,1.0
round9_main,baseline31,n_sources_15,21,13,13,0,14.0,15.0,15.0,0.9333333333333333,1.0,1.0
round9_main,baseline31,n_sources_15,22,13,13,0,14.0,15.0,15.0,0.9333333333333333,1.0,1.0
round9_main,baseline31,n_sources_15,23,13,13,0,14.0,15.0,15.0,0.9333333333333333,1.0,1.0
round9_main,baseline31,n_sources_15,24,13,13,0,14.0,15.0,15.0,0.9333333333333333,1.0,1.0
round9_main,baseline31,n_sources_15,25,13,13,0,15.0,15.0,15.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_15,26,13,13,0,15.0,15.0,15.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_15,27,13,13,0,15.0,15.0,15.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_15,28,13,13,0,15.0,15.0,15.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_15,29,13,13,0,15.0,15.0,15.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_15,30,13,13,0,15.0,15.0,15.0,1.0,1.0,1.0
