rounding,case_id,baseline,candidate,change_s,change_pct,baseline_success,candidate_success,movement_s_difference,switch_s_difference,detection_s_difference,optical_s_difference,laser_s_difference
pre_round_stress,final_outer_910049_spatial_hash,2498.568793,2365.088128,-133.48066500000004,-5.342284966255884,True,True,-211.4806658163493,18.0,90.0,-30.0,0.0
pre_round_stress,final_outer_910049_smooth,2600.069601,2345.290672,-254.77892900000006,-9.798927263409052,True,True,-308.77892728590723,16.0,80.0,-42.0,0.0
pre_round_stress,final_outer_910049_positive,2473.468419,2340.983195,-132.48522400000002,-5.356252903102055,True,True,-207.4852236426102,14.0,70.0,-9.0,0.0
pre_round_stress,final_outer_910049_negative,2755.963192,2336.133593,-419.82959900000014,-15.233498045934724,True,True,-389.82960309942723,15.0,75.0,-120.0,0.0
pre_round_stress,final_cluster_910050_spatial_hash,644.362675,639.580708,-4.781967000000009,-0.7421235253888714,True,True,-61.781966502088835,10.0,50.0,-3.0,0.0
pre_round_stress,final_cluster_910050_smooth,652.058593,630.937952,-21.120640999999978,-3.2390710323788263,True,True,-81.12063869513582,10.0,50.0,0.0,0.0
pre_round_stress,final_cluster_910050_positive,669.031145,627.817736,-41.21340900000007,-6.160162992113028,True,True,-83.21340842498643,9.0,45.0,-12.0,0.0
pre_round_stress,final_cluster_910050_negative,665.283033,653.066245,-12.216788000000065,-1.8363294107938022,True,True,-66.21678658629452,11.0,55.0,-12.0,0.0
pre_round_stress,final_min_radius_910051_spatial_hash,4209.978161,3650.813637,-559.1645239999998,-13.28188657081254,True,True,-609.1645243609692,7.0,55.0,-12.0,0.0
pre_round_stress,final_min_radius_910051_smooth,4315.494745,3699.711933,-615.7828119999999,-14.26911277585161,True,True,-631.78281074385,1.0,30.0,-15.0,0.0
pre_round_stress,final_min_radius_910051_positive,3834.566845,3524.544381,-310.0224639999997,-8.084940921143325,True,True,-319.0224664164193,-3.0,15.0,-3.0,0.0
pre_round_stress,final_min_radius_910051_negative,4162.280895,3688.734818,-473.54607699999997,-11.377081195285355,True,True,-496.54607908023354,5.0,60.0,-42.0,0.0
pre_round_stress,final_radial_910052_spatial_hash,1702.993479,2863.643995,1160.650516,68.15355022272517,True,True,905.6505157445442,46.0,245.0,-36.0,0.0
pre_round_stress,final_radial_910052_smooth,1635.565323,1569.569787,-65.99553600000013,-4.035029055210659,True,True,-118.99552847188511,14.0,75.0,-36.0,0.0
pre_round_stress,final_radial_910052_positive,1560.570789,2774.431535,1213.860746,77.7831261840952,True,True,947.8607421449751,46.0,250.0,-30.0,0.0
pre_round_stress,final_radial_910052_negative,1771.231688,2761.51937,990.2876819999999,55.909550891006866,True,True,746.2876841158068,48.0,250.0,-54.0,0.0
pre_round_stress,final_reception_edge_910053_spatial_hash,4751.257112,3386.040822,-1365.2162900000003,-28.733791032944634,True,True,-1394.2162888702815,3.0,65.0,-39.0,0.0
pre_round_stress,final_reception_edge_910053_smooth,4436.969351,3592.381203,-844.5881479999998,-19.035248639020853,True,True,-842.5881449911417,4.0,60.0,-66.0,0.0
pre_round_stress,final_reception_edge_910053_positive,4363.802527,3399.24656,-964.5559669999998,-22.103565893095233,True,True,-992.5559663169665,0.0,55.0,-27.0,0.0
pre_round_stress,final_reception_edge_910053_negative,4635.120987,3822.359645,-812.7613420000002,-17.53484632395854,True,True,-784.761343517272,-1.0,60.0,-87.0,0.0
pre_round_stress,final_uniform_910054_spatial_hash,3791.017389,3628.337408,-162.67998100000023,-4.291195853441132,True,True,-259.6799776948578,7.0,105.0,-15.0,0.0
pre_round_stress,final_uniform_910054_smooth,3878.395723,3554.768566,-323.6271569999999,-8.344356278055843,True,True,-413.62715812180977,10.0,110.0,-30.0,0.0
pre_round_stress,final_uniform_910054_positive,3842.00405,3630.818691,-211.18535900000006,-5.4967500359610515,True,True,-319.1853572282603,6.0,105.0,-3.0,0.0
