case_id,seed,family,source_count,error_mode,rounding,variant,current_s,candidate_s,change_s,change_pct,current_success,candidate_success
dispatch_development_radial_2026091330_positive,2026091330,radial,12,positive,bounded,COVERAGE_ORDER,2506.072129,2506.072129,0.0,0.0,True,True
dispatch_development_radial_2026091330_smooth,2026091330,radial,12,smooth,bounded,COVERAGE_ORDER,2464.931869,2464.931869,0.0,0.0,True,True
dispatch_development_radial_2026091330_spatial_hash,2026091330,radial,12,spatial_hash,bounded,COVERAGE_ORDER,2444.825497,2444.825497,0.0,0.0,True,True
dispatch_development_radial_2026091331_negative,2026091331,radial,13,negative,bounded,COVERAGE_ORDER,2611.181217,2846.436906,235.25568900000007,9.009550446685832,True,True
dispatch_development_radial_2026091331_positive,2026091331,radial,13,positive,bounded,COVERAGE_ORDER,2721.37942,2890.109209,168.72978899999998,6.200156720520811,True,True
dispatch_development_radial_2026091331_smooth,2026091331,radial,13,smooth,bounded,COVERAGE_ORDER,2713.383795,3068.166546,354.78275099999973,13.075288193795664,True,True
dispatch_development_radial_2026091331_spatial_hash,2026091331,radial,13,spatial_hash,bounded,COVERAGE_ORDER,2626.491412,3058.806734,432.3153219999999,16.459803372088857,True,True
dispatch_development_radial_2026091332_negative,2026091332,radial,14,negative,bounded,COVERAGE_ORDER,2865.319336,2845.831638,-19.48769799999991,-0.6801230758176069,True,True
dispatch_development_radial_2026091332_positive,2026091332,radial,14,positive,bounded,COVERAGE_ORDER,2621.58224,2846.143673,224.56143299999985,8.565874057798005,True,True
dispatch_development_radial_2026091332_smooth,2026091332,radial,14,smooth,bounded,COVERAGE_ORDER,2531.561178,2850.581366,319.02018799999996,12.601717500346332,True,True
dispatch_development_radial_2026091332_spatial_hash,2026091332,radial,14,spatial_hash,bounded,COVERAGE_ORDER,2562.979481,2832.198306,269.2188249999999,10.504135011449979,True,True
dispatch_development_radial_2026091333_negative,2026091333,radial,15,negative,bounded,COVERAGE_ORDER,2434.230595,2434.230595,0.0,0.0,True,True
dispatch_development_radial_2026091333_positive,2026091333,radial,15,positive,bounded,COVERAGE_ORDER,2465.979075,2465.979075,0.0,0.0,True,True
dispatch_development_radial_2026091333_smooth,2026091333,radial,15,smooth,bounded,COVERAGE_ORDER,2483.307474,2483.307474,0.0,0.0,True,True
dispatch_development_radial_2026091333_spatial_hash,2026091333,radial,15,spatial_hash,bounded,COVERAGE_ORDER,2543.111503,2749.698973,206.58746999999994,8.123413769168097,True,True
dispatch_development_radial_2026091334_negative,2026091334,radial,16,negative,bounded,COVERAGE_ORDER,1733.643185,2012.643185,279.0,16.093277002672266,True,True
dispatch_development_radial_2026091334_positive,2026091334,radial,16,positive,bounded,COVERAGE_ORDER,1741.166776,2020.166776,279.0,16.023737866222643,True,True
dispatch_development_radial_2026091334_smooth,2026091334,radial,16,smooth,bounded,COVERAGE_ORDER,2678.714042,2105.349359,-573.3646830000002,-21.404475207510785,True,True
dispatch_development_radial_2026091334_spatial_hash,2026091334,radial,16,spatial_hash,bounded,COVERAGE_ORDER,1820.653163,2099.653163,279.0,15.324170779473167,True,True
dispatch_development_reception_edge_2026091335_negative,2026091335,reception_edge,10,negative,bounded,COVERAGE_ORDER,3549.83371,3549.83371,0.0,0.0,True,True
dispatch_development_reception_edge_2026091335_positive,2026091335,reception_edge,10,positive,bounded,COVERAGE_ORDER,3578.292354,3578.292354,0.0,0.0,True,True
dispatch_development_reception_edge_2026091335_smooth,2026091335,reception_edge,10,smooth,bounded,COVERAGE_ORDER,3594.469725,3594.469725,0.0,0.0,True,True
dispatch_development_reception_edge_2026091335_spatial_hash,2026091335,reception_edge,10,spatial_hash,bounded,COVERAGE_ORDER,3568.151988,3568.151988,0.0,0.0,True,True
dispatch_development_reception_edge_2026091336_negative,2026091336,reception_edge,11,negative,bounded,COVERAGE_ORDER,3056.657098,3056.657098,0.0,0.0,True,True
dispatch_development_reception_edge_2026091336_positive,2026091336,reception_edge,11,positive,bounded,COVERAGE_ORDER,3044.456745,3044.456745,0.0,0.0,True,True
dispatch_development_reception_edge_2026091336_smooth,2026091336,reception_edge,11,smooth,bounded,COVERAGE_ORDER,3018.504622,3018.504622,0.0,0.0,True,True
dispatch_development_reception_edge_2026091336_spatial_hash,2026091336,reception_edge,11,spatial_hash,bounded,COVERAGE_ORDER,3067.356765,3067.356765,0.0,0.0,True,True
dispatch_development_reception_edge_2026091337_negative,2026091337,reception_edge,12,negative,bounded,COVERAGE_ORDER,3590.720038,3590.720038,0.0,0.0,True,True
dispatch_development_reception_edge_2026091337_positive,2026091337,reception_edge,12,positive,bounded,COVERAGE_ORDER,3931.425931,3931.425931,0.0,0.0,True,True
dispatch_development_reception_edge_2026091337_smooth,2026091337,reception_edge,12,smooth,bounded,COVERAGE_ORDER,3911.745014,3911.745014,0.0,0.0,True,True
dispatch_development_reception_edge_2026091337_spatial_hash,2026091337,reception_edge,12,spatial_hash,bounded,COVERAGE_ORDER,3627.563015,3627.563015,0.0,0.0,True,True
dispatch_development_reception_edge_2026091338_negative,2026091338,reception_edge,13,negative,bounded,COVERAGE_ORDER,3940.946121,3940.946121,0.0,0.0,True,True
dispatch_development_reception_edge_2026091338_positive,2026091338,reception_edge,13,positive,bounded,COVERAGE_ORDER,3951.768423,3951.768423,0.0,0.0,True,True
